"ADP","Position","Player","Team","Underdog","CBS","ESPN","FFPC","BB10s","NFL","Y!","10-Team","12-Team"
"1","WR-01","Ja'Marr Chase","CIN","1","2","1","1","1","-","1","1.01","1.01"
"2","RB-01","Bijan Robinson","ATL","2","1","2","2","2","-","2","1.02","1.02"
"3","RB-02","Saquon Barkley","PHI","4","3","3","4","3","-","3","1.03","1.03"
"4","RB-03","Jahmyr Gibbs","DET","6","4","5","3","4","-","4","1.04","1.04"
"5","WR-02","Justin Jefferson","MIN","3","6","4","5","5","-","5","1.05","1.05"
"6","WR-03","CeeDee Lamb","DAL","5","5","6","6","6","-","6","1.06","1.06"
"7","RB-04","Christian McCaffrey","SF","7","9","7","8","11","-","10","1.07","1.07"
"8","WR-04","Puka Nacua","LAR","8","11","8","11","8","-","9","1.08","1.08"
"9","WR-05","Malik Nabers","NYG","9","8","11","9","9","-","12","1.09","1.09"
"10","WR-06","Amon-Ra St. Brown","DET","11","10","9","13","7","-","8","1.10","1.10"
"11","RB-05","Ashton Jeanty","LV","12","7","10","10","10","-","13","2.01","1.11"
"12","WR-07","Nico Collins","HOU","10","14","14","16","13","-","7","2.02","1.12"
"13","RB-06","Derrick Henry","BAL","15","13","13","15","12","-","11","2.03","2.01"
"14","RB-07","De'Von Achane","MIA","14","12","12","12","14","-","16","2.04","2.02"
"15","WR-08","Brian Thomas Jr.","JAX","13","15","17","17","15","-","14","2.05","2.03"
"16","TE-01","Brock Bowers","LV","19","19","19","7","16","-","21","2.06","2.04"
"17","WR-09","Drake London","ATL","16","16","23","18","17","-","18","2.07","2.05"
"18","WR-10","A.J. Brown","PHI","17","17","15","21","18","-","20","2.08","2.06"
"19","RB-08","Jonathan Taylor","IND","20","18","16","22","19","-","15","2.09","2.07"
"20","RB-09","Josh Jacobs","GB","24","20","18","20","25","-","17","2.10","2.08"
"21","WR-11","Ladd McConkey","LAC","18","24","28","23","21","-","19","3.01","2.09"
"22","TE-02","Trey McBride","ARI","26","25","25","14","23","-","27","3.02","2.10"
"23","RB-10","Bucky Irving","TB","22","37","22","19","24","-","22","3.03","2.11"
"24","QB-01","Lamar Jackson","BAL","31","22","21","27","20","-","26","3.04","2.12"
"25","QB-02","Josh Allen","BUF","30","26","20","29","22","-","28","3.05","3.01"
"26","WR-12","Tee Higgins","CIN","23","28","27","30","27","-","23","3.06","3.02"
"27","RB-11","Kyren Williams","LAR","34","21","24","26","29","-","25","3.07","3.03"
"28","RB-12","Chase Brown","CIN","25","23","32","25","30","-","24","3.08","3.04"
"29","WR-13","Tyreek Hill","MIA","21","27","29","28","31","-","36","3.09","3.05"
"30","WR-14","Jaxon Smith-Njigba","SEA","32","36","37","33","26","-","29","3.10","3.06"
"31","WR-15","Garrett Wilson","NYJ","28","29","40","32","34","-","31","4.01","3.07"
"32","TE-03","George Kittle","SF","40","33","35","24","36","-","32","4.02","3.08"
"33","WR-16","Davante Adams","LAR","29","31","33","37","40","-","33","4.03","3.09"
"34","QB-03","Jayden Daniels","WAS","39","47","26","35","28","-","30","4.04","3.10"
"35","RB-13","Breece Hall","NYJ","33","32","45","31","33","-","39","4.05","3.11"
"36","RB-14","James Cook","BUF","44","30","30","38","39","-","34","4.06","3.12"
"37","WR-17","Marvin Harrison Jr.","ARI","27","38","42","39","41","-","42","4.07","4.01"
"38","WR-18","Terry McLaurin","WAS","36","39","39","44","38","-","37","4.08","4.02"
"39","QB-04","Jalen Hurts","PHI","45","43","31","42","35","-","38","4.09","4.03"
"40","WR-19","Mike Evans","TB","38","41","44","43","37","-","35","4.10","4.04"
"41","RB-15","Kenneth Walker","SEA","50","34","36","34","48","-","41","5.01","4.05"
"42","RB-16","Alvin Kamara","NO","57","35","38","40","42","-","43","5.02","4.06"
"43","RB-17","Omarion Hampton","LAC","35","48","46","36","52","-","44","5.03","4.07"
"44","QB-05","Joe Burrow","CIN","60","40","34","45","32","-","51","5.04","4.08"
"45","WR-20","Rashee Rice","KC","37","42","53","41","46","-","55","5.05","4.09"
"46","WR-21","D.J. Moore","CHI","43","51","52","47","43","-","48","5.06","4.10"
"47","RB-18","Chuba Hubbard","CAR","52","46","47","46","56","-","40","5.07","4.11"
"48","WR-22","DK Metcalf","PIT","46","50","48","50","51","-","47","5.08","4.12"
"49","WR-23","Xavier Worthy","KC","41","44","51","49","58","-","50","5.09","5.01"
"50","RB-19","Joe Mixon","HOU","63","45","43","52","54","-","46","5.10","5.02"
"51","RB-20","James Conner","ARI","58","49","49","51","64","-","45","6.01","5.03"
"52","WR-24","Courtland Sutton","DEN","49","52","60","54","49","-","54","6.02","5.04"
"53","TE-04","Sam LaPorta","DET","73","61","41","48","45","-","57","6.03","5.05"
