Player,Pos,Team,Market,Line,Over_Odds,Under_Odds,Sportsbook,Snapshot_Date,Source_Published,Source_URL
Fernando Mendoza,QB,LV,passing_yards,2000.5,+100,-121,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-quarterback-regular-season-props
Fernando Mendoza,QB,LV,passing_touchdowns,12.5,+120,-148,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-quarterback-regular-season-props
Jadarian Price,RB,SEA,rushing_yards,750.5,-106,-115,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-running-back-regular-season-props
Jeremiyah Love,RB,ARI,rushing_yards,775.5,-110,-110,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-running-back-regular-season-props
Jeremiyah Love,RB,ARI,rushing_touchdowns,5.5,-121,+100,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-running-back-regular-season-props
Carnell Tate,WR,TEN,receiving_yards,775.5,-118,-104,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-receiver-regular-season-props
Carnell Tate,WR,TEN,receiving_touchdowns,4.5,+105,-127,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-receiver-regular-season-props
De'Zhaun Stribling,WR,SF,receiving_yards,650.5,-106,-115,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-receiver-regular-season-props
Denzel Boston,WR,CLE,receiving_yards,500.5,+100,-121,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-receiver-regular-season-props
Jordyn Tyson,WR,NO,receiving_yards,750.5,-106,-115,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-receiver-regular-season-props
Jordyn Tyson,WR,NO,receiving_touchdowns,4.5,-115,-106,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-receiver-regular-season-props
KC Concepcion,WR,CLE,receiving_yards,625.5,+100,-121,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-receiver-regular-season-props
Kenyon Sadiq,TE,NYJ,receiving_yards,450.5,-110,-110,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-receiver-regular-season-props
Makai Lemon,WR,PHI,receiving_yards,575.5,-115,-106,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-receiver-regular-season-props
Omar Cooper,WR,NYJ,receiving_yards,425.5,+100,-121,BetRivers,2026-08-29,2026-08-28,https://www.sportsbetting3.com/nfl/nfl-receiver-regular-season-props
